Year,Name,Apps,Assists,Goals,Mot M,Rank,Rating
2011,Lionel Messi,36,16,50,24,1,9
2011,Cristiano Ronaldo,37,12,46,11,2,8
2011,Marcelo,31,5,3,2,6,8
2011,Dani Alves,29,11,2,1,11,7
2011,Sergio Busquets,28,1,1,0,17,7
2011,Xabi Alonso,35,9,1,1,7,7
2011,Bruno Soriano,37,1,3,4,5,8
2011,Ángel Di María,16,15,5,2,18,7
2011,Xavi,27,7,10,2,16,7
2011,Andrés Iniesta,21,9,2,2,12,7
2011,Santi Cazorla,38,5,9,9,4,8
2011,Alexis Sánchez,20,5,12,1,13,7
2011,Cesc Fàbregas,23,8,9,2,10,7
2011,Raul García,30,8,11,6,20,7
2011,Jesús Navas,37,12,5,3,9,7
2011,Nacho,37,0,1,4,14,7
2011,Javier Mascherano,30,0,0,0,15,7
2011,Thiago Alcántara,20,3,2,1,19,7
2011,Javi Fuego,31,0,0,3,8,7
2011,Jérémy Toulalan,25,0,3,5,3,8
