Year,Name,Apps,Assists,Goals,Mot M,Rank,Rating
2009,Lionel Messi,30,10,34,14,1,9
2009,Cristiano Ronaldo,28,7,26,13,2,9
2009,Marcelo,34,9,4,1,7,8
2009,Sergio Ramos,33,5,4,2,6,8
2009,Filipe Luís,20,1,3,3,17,7
2009,Dani Alves,28,10,3,2,4,8
2009,Xabi Alonso,34,5,3,1,9,8
2009,Xavi,31,13,3,4,8,8
2009,David Villa,31,3,21,7,11,8
2009,Javi Martínez,34,1,6,5,5,8
2009,Fernando Llorente,35,5,14,5,18,7
2009,Gonzalo Higuaín,28,5,27,6,3,8
2009,Pedro León,33,9,8,4,14,7
2009,David Silva,28,7,8,4,20,7
2009,Gonzalo Castro,32,8,6,3,16,7
2009,Duda,33,7,8,6,10,8
2009,Zlatan Ibrahimovic,23,7,16,2,12,7
2009,Luís Fabiano,18,3,15,5,13,7
2009,Christian Fernández,28,0,2,2,19,7
2009,Kaká,21,5,8,0,15,7
2010,Lionel Messi,31,18,31,20,1,9
2010,Cristiano Ronaldo,32,11,40,12,2,8
2010,Marcelo,31,4,3,4,4,8
2010,Sergio Ramos,30,2,3,0,18,7
2010,Dani Alves,31,15,2,3,6,8
2010,Sergio Busquets,25,3,1,0,17,7
2010,Xabi Alonso,29,6,0,4,9,8
2010,Bruno Soriano,36,2,0,4,11,7
2010,Gabi,36,6,10,11,5,8
2010,Ángel Di María,29,11,6,4,10,7
2010,Xavi,29,7,3,2,8,8
2010,Andrés Iniesta,32,3,8,2,3,8
2010,David Villa,32,5,18,1,20,7
2010,Santi Cazorla,34,10,5,5,15,7
2010,Mesut Özil,30,17,6,1,13,7
2010,Javi Martínez,35,1,4,3,14,7
2010,Giuseppe Rossi,35,5,18,4,12,7
2010,Sergio Agüero,31,2,20,5,16,7
2010,José Antonio,34,7,6,5,7,8
2010,Sergio,22,2,2,3,19,7
2011,Lionel Messi,36,16,50,24,1,9
2011,Cristiano Ronaldo,37,12,46,11,2,8
2011,Marcelo,31,5,3,2,6,8
2011,Dani Alves,29,11,2,1,11,7
2011,Sergio Busquets,28,1,1,0,17,7
2011,Xabi Alonso,35,9,1,1,7,7
2011,Bruno Soriano,37,1,3,4,5,8
2011,Ángel Di María,16,15,5,2,18,7
2011,Xavi,27,7,10,2,16,7
2011,Andrés Iniesta,21,9,2,2,12,7
2011,Santi Cazorla,38,5,9,9,4,8
2011,Alexis Sánchez,20,5,12,1,13,7
2011,Cesc Fàbregas,23,8,9,2,10,7
2011,Raul García,30,8,11,6,20,7
2011,Jesús Navas,37,12,5,3,9,7
2011,Nacho,37,0,1,4,14,7
2011,Javier Mascherano,30,0,0,0,15,7
2011,Thiago Alcántara,20,3,2,1,19,7
2011,Javi Fuego,31,0,0,3,8,7
2011,Jérémy Toulalan,25,0,3,5,3,8
2012,Lionel Messi,28,12,46,19,1,9
2012,Cristiano Ronaldo,30,10,34,11,2,8
2012,Diego Godín,35,2,1,6,12,7
2012,Sergio Ramos,26,0,4,0,6,7
2012,Filipe Luís,32,2,1,0,19,7
2012,Xabi Alonso,22,5,0,2,15,7
2012,Gabi,34,3,0,3,17,7
2012,Andrés Iniesta,24,16,3,3,7,7
2012,Carlos Vela,32,9,14,3,9,7
2012,Ivan Rakitic,34,10,8,4,8,7
2012,Koke,29,9,3,4,14,7
2012,Mesut Özil,23,13,9,1,10,7
2012,Cesc Fàbregas,30,11,11,2,5,7
2012,Álvaro Negredo,34,1,25,5,16,7
2012,Emiliano Armenteros,30,5,3,3,11,7
2012,Diego Mainz,26,0,1,3,20,7
2012,Damiá,29,1,0,2,13,7
2012,Carlos Martínez,29,4,1,6,3,8
2012,Patrick Ebert,22,7,6,4,4,7
2012,Emir Spahic,22,0,1,2,18,7
2013,Lionel Messi,29,11,27,13,1,8
2013,Cristiano Ronaldo,30,9,31,10,2,8
2013,Diego Godín,34,1,4,4,12,7
2013,Gareth Bale,24,12,15,5,3,8
2013,Neymar,19,8,9,4,7,8
2013,Sergio Ramos,32,1,4,6,10,7
2013,Dani Alves,26,3,2,0,14,7
2013,Karim Benzema,34,9,17,1,13,7
2013,Gabi,35,8,3,2,5,8
2013,Ángel Di María,27,17,4,1,11,7
2013,Carlos Vela,35,12,15,5,16,7
2013,Ivan Rakitic,29,10,11,6,4,8
2013,Alexis Sánchez,27,10,19,3,6,8
2013,Isco,23,6,8,4,18,7
2013,Tiago,21,1,2,2,8,7
