Year,Name,Apps,Assists,Goals,Mot M,Rank,Rating
1000,Lionel Messi,286,122,328,166,10,78
1000,Cristiano Ronaldo,284,87,311,93,24,74
1000,Luis Suárez,126,55,110,20,15,31
1000,Gareth Bale,112,35,70,21,25,39
1000,Neymar,112,38,68,22,13,32
1000,Antoine Griezmann,102,22,57,20,30,22
1000,Karim Benzema,89,26,56,6,27,23
1000,David Villa,63,8,39,8,31,15
1000,Aritz Aduriz,60,10,38,11,35,15
1000,Alexis Sánchez,47,15,31,4,19,15
1000,Carlos Vela,67,21,29,8,25,15
1000,Gerard Moreno,75,5,29,14,30,15
1000,James Rodríguez,59,27,28,6,34,22
1000,Diego Costa,34,3,27,6,20,7
1000,Gonzalo Higuaín,28,5,27,6,3,8
1000,Álvaro Negredo,34,1,25,5,16,7
1000,Nolito,59,20,25,16,22,15
1000,Iago Aspas,33,5,22,11,7,7
1000,Cesc Fàbregas,53,19,20,4,15,15
1000,Sergio Agüero,31,2,20,5,16,7
